Model,Scheme,Metric,Mean,Std,n_splits,embargo
randomforest,random_shuffled,MAE,4.257738976477531,0.11736312796585467,5,0
randomforest,random_shuffled,RMSE,6.042713731423234,0.2041668648768568,5,0
randomforest,random_shuffled,R2,0.8048791019708343,0.007938307946603608,5,0
randomforest,random_shuffled,NSE,0.8041436746227836,0.0077846430316483835,5,0
randomforest,random_shuffled,PBIAS,0.38543533496010696,0.9748979326618956,5,0
randomforest,blocked,MAE,7.7851860275898925,4.041028936517793,5,0
randomforest,blocked,RMSE,9.483267534111182,4.491447976190645,5,0
randomforest,blocked,R2,0.6699796257727133,0.1811143008257496,5,0
randomforest,blocked,NSE,-0.09221295881082966,1.0399320282118685,5,0
randomforest,blocked,PBIAS,-56.56612611682461,155.61700204768076,5,0
randomforest,purged_embargo,MAE,7.785269618237874,4.058203185550027,5,7
randomforest,purged_embargo,RMSE,9.485411939209925,4.501968680588951,5,7
randomforest,purged_embargo,R2,0.6701954345485441,0.18105819231211354,5,7
randomforest,purged_embargo,NSE,-0.09273316548655144,1.0428663644747262,5,7
randomforest,purged_embargo,PBIAS,-56.809971951863325,155.93647041226288,5,7
xgboost,random_shuffled,MAE,4.643962389856007,0.11840258639368315,5,0
xgboost,random_shuffled,RMSE,6.355074435581551,0.20047249018360166,5,0
xgboost,random_shuffled,R2,0.7837202683630278,0.009309549350637783,5,0
xgboost,random_shuffled,NSE,0.7833304505603389,0.009016778916685666,5,0
xgboost,random_shuffled,PBIAS,0.08397279954683454,1.3235994402200961,5,0
xgboost,blocked,MAE,7.79372929497004,4.065216991668291,5,0
xgboost,blocked,RMSE,9.549430976109873,4.60735431303816,5,0
xgboost,blocked,R2,0.6660012945325866,0.2010849132620614,5,0
xgboost,blocked,NSE,-0.11520211434797767,1.0756206607137768,5,0
xgboost,blocked,PBIAS,-56.80660900516714,155.9936754915202,5,0
xgboost,purged_embargo,MAE,7.809591347401247,4.031492241166016,5,7
xgboost,purged_embargo,RMSE,9.547904771572368,4.546927599196476,5,7
xgboost,purged_embargo,R2,0.6694068737040588,0.1950023356962362,5,7
xgboost,purged_embargo,NSE,-0.11250846917182647,1.0604700867952461,5,7
xgboost,purged_embargo,PBIAS,-56.58053150222501,155.4579013473633,5,7
